Serial_no,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,19:55,07h 54m,INR 945,26 Seats available,"3.5
118",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
1,KSRTC (Kerala) - 1210,SWIFT-HYBRID NON AC SEATER CUM SLEEPER,12:55,21:15,08h 20m,INR 740,1 Seat available,"3.8
20",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
2,KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,21:25,07h 39m,INR 1099,29 Seats available,"2.0
29",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
3,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,22:50,08h 35m,INR 945,27 Seats available,"4.2
77",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
4,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,00:01,09h 01m,INR 801,11 Seats available,"3.9
15",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
5,KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,00:50,08h 48m,INR 740,2 Seats available,"2.8
20",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
6,KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,INR 832,26 Seats available,"4.1
9",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
7,KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,INR 832,1 Seat available,"4.1
12",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
8,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,INR 832,14 Seats available,"4.2
44",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
9,KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,INR 832,8 Seats available,"3.9
53",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
10,KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:31,06:36,09h 05m,INR 832,4 Seats available,"3.6
33",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
11,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,07:36,09h 24m,INR 832,5 Seats available,"4.2
17",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
12,KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,07:35,09h 03m,INR 945,3 Seats available,"3.8
46",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
13,KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:41,09:05,09h 24m,INR 945,4 Seats available,"3.4
52",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
14,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,INR 800,16 Seats available,"4.1
285",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
15,MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 999,16 Seats available,"4.4
515",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
16,P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 900,17 Seats available,"4.0
10",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
17,AdP K Travels,Non A/C Seater / Sleeper (2+1),18:45,05:15,10h 30m,INR 900,11 Seats available,"3.8
60",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
18,National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08h 15m,999,14 Seats available,"4.3
19",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
19,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,INR 999,10 Seats available,"4.2
352",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
20,SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,INR 1199,16 Seats available,"4.1
59",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
21,AdFAST LINE BUS,A/C Sleeper (2+1),21:15,06:15,09h 00m,1069,20 Seats available,"4.5
12",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
22,NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,INR 1200,16 Seats available,"4.1
293",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
23,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,INR 800,19 Seats available,"4.1
122",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
24,SAAM BUS,VE A/C Sleeper (2+1),18:40,06:45,12h 05m,INR 1150,17 Seats available,"4.2
198",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
25,P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,INR 1300,6 Seats available,"4.1
115",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
26,Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,06:10,08h 10m,INR 799,18 Seats available,"4.3
290",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
27,National travels and logistics,NON A/C Sleeper (2+1),22:30,06:15,07h 45m,749,20 Seats available,"3.5
159",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
28,Suraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 1250,21 Seats available,"3.9
267",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
29,DA Transports,A/C Sleeper (2+1),21:45,07:00,09h 15m,INR 999,12 Seats available,"3.8
306",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
30,Sam Tourist,NON AC Seater / Sleeper 2+1,22:05,07:05,09h 00m,INR 799,29 Seats available,"3.5
76",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
31,A1 Travels,A/C Seater / Sleeper (2+1),21:45,07:00,09h 15m,INR 700,36 Seats available,"3.0
42",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
32,MMK Travels,A/C Sleeper (2+1),22:10,06:40,08h 30m,INR 1199,20 Seats available,"3.2
16",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
33,DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 1199,20 Seats available,"3.9
313",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
34,SURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,899,15 Seats available,"3.5
148",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
35,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,07:05,09h 05m,INR 1000,18 Seats available,"3.4
122",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
36,A1 Travels,A/C Semi Sleeper (2+2),22:30,08:15,09h 45m,INR 900,38 Seats available,"3.2
9",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
37,Sam Tourist,Volvo A/C Seater (2+2),22:30,07:30,09h 00m,INR 899,32 Seats available,"3.1
59",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
38,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,06:00,09h 30m,INR 900,20 Seats available,"3.5
107",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
39,Suraj Holidays,Non A/C Seater / Sleeper (2+1),21:30,07:00,09h 30m,INR 900,25 Seats available,3.7,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
40,A1 Travels,A/C Seater / Sleeper (2+1),22:30,06:30,08h 00m,INR 799,31 Seats available,"1.5
21",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
41,A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09h 45m,INR 700,28 Seats available,"2.8
195",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
42,Vijay Lines,A/C Seater / Sleeper (2+1),22:20,07:00,08h 40m,949,25 Seats available,"2.1
70",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
43,J J YATRA,A/C Sleeper (2+1),23:00,08:15,09h 15m,1195,24 Seats available,2.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
44,Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),22:00,06:30,08h 30m,INR 1000,5 Seats available,1.9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
45,Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,06:30,08h 30m,INR 800,19 Seats available,"2.9
48",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
46,Vijay Lines,A/C Seater / Sleeper (2+1),20:45,07:30,10h 45m,4750,40 Seats available,"2.4
5",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
47,KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),13:32,22:32,09h 00m,INR 432,12 Seats available,"4.0
52",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
48,KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:00,03:35,08h 35m,INR 688,2 Seats available,"3.4
43",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
49,KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),20:02,05:21,09h 19m,INR 640,1 Seat available,"3.8
23",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
50,KSRTC (Kerala) - 3079,Super Fast Non AC Seater (2+3),21:15,06:20,09h 05m,INR 688,33 Seats available, ,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
51,MMK Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 900,26 Seats available,"4.5
553",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
52,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,20:30,08h 15m,INR 799,25 Seats available,"4.4
234",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
53,NS Transports,Non A/C Seater / Sleeper (2+1),20:30,06:35,10h 05m,INR 850,5 Seats available,"4.2
255",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
54,AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),20:45,06:00,09h 15m,760,13 Seats available,"3.7
146",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
55,National travels and logistics,NON A/C Sleeper (2+1),20:45,06:15,09h 30m,849,8 Seats available,"4.0
213",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
56,DLT BUS,A/C Sleeper (2+1),21:45,06:30,08h 45m,INR 999,8 Seats available,"4.4
303",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
57,Silver Line Travels,NON A/C Semi Sleeper (2+2),20:30,05:45,09h 15m,INR 699,7 Seats available,"4.3
268",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
58,AdSAAM BUS,VE A/C Sleeper (2+1),20:30,06:15,09h 45m,INR 900,6 Seats available,"4.4
145",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
59,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),19:00,04:45,09h 45m,1151,23 Seats available,4.2,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
60,SKS Tours & Travels,A/C Sleeper (2+1),21:00,06:00,09h 00m,INR 899,10 Seats available,"4.1
52",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
61,National travels and logistics,A/C Sleeper (2+1),21:00,06:15,09h 15m,849,20 Seats available,"3.9
14",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
62,NS Transports,VE A/C Sleeper (2+1),21:16,06:30,09h 14m,INR 1050,9 Seats available,"4.0
133",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
63,P K Travels,Non A/C Seater / Sleeper (2+1),21:00,06:00,09h 00m,810,1 Seat available,"4.0
46",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
64,MMK Travels,A/C Sleeper (2+1),20:30,05:30,09h 00m,INR 999,12 Seats available,"4.0
13",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
65,P K Travels,A/C Seater / Sleeper (2+1),21:45,06:45,09h 00m,810,7 Seats available,"4.1
8",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
66,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),13:45,23:10,09h 25m,INR 1400,15 Seats available,"4.5
5",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
67,Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,06:30,09h 30m,INR 599,12 Seats available,"3.7
94",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
68,Suraj Holidays,VE A/C Sleeper (2+1),22:00,07:15,09h 15m,INR 999,19 Seats available,"3.9
267",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
69,NS Transports,Non A/C Seater / Sleeper (2+1),19:30,04:30,09h 00m,INR 850,1 Seat available,"3.7
106",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
70,DA Transports,A/C Sleeper (2+1),22:01,07:45,09h 44m,INR 899,14 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
71,P K Travels,A/C Sleeper (2+1),20:00,06:00,10h 00m,990,3 Seats available,"4.2
208",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
72,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:15,05:55,09h 40m,INR 900,7 Seats available,"3.3
39",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
73,Bharathi Travels,A/C Sleeper (2+1),15:00,23:48,08h 48m,INR 1290,24 Seats available,"3.2
42",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
74,A1 Travels,A/C Seater / Sleeper (2+1),20:00,05:30,09h 30m,INR 699,12 Seats available,"2.3
22",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
75,A1 Travels,A/C Seater / Sleeper (2+1),22:00,06:00,08h 00m,INR 800,19 Seats available,"2.7
54",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
76,A1 Travels,Non A/C Seater / Sleeper (2+1),21:30,06:30,09h 00m,INR 700,8 Seats available,"2.7
180",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
77,DA Transports,A/C Sleeper (2+1),21:50,06:45,08h 55m,INR 949,21 Seats available,"2.8
9",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
78,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),14:00,23:30,09h 30m,1620,25 Seats available,2.5,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
79,KSRTC (Kerala) - 2571,Super Fast Non AC Seater (2+3),09:30,15:55,06h 25m,INR 261,42 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
80,KSRTC (Kerala) - 721,Super Fast Non AC Seater (2+3),09:35,15:10,05h 35m,INR 269,25 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
81,KSRTC (Kerala) - 2567,Super Fast Non AC Seater (2+3),10:05,16:30,06h 25m,INR 261,39 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
82,KSRTC (Kerala) - 353,Super Fast Non AC Seater (2+3),10:15,16:00,05h 45m,INR 269,49 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
83,KSRTC (Kerala) - 3003,Super Fast Non AC Seater (2+3),10:16,16:01,05h 45m,INR 269,40 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
84,KSRTC (Kerala) - 2371,Low Floor AC Seater 2+2,10:30,15:49,05h 19m,INR 383,1 Seat available,"4.0
6",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
85,KSRTC (Kerala) - 773,Super Fast Non AC Seater (2+3),10:55,16:20,05h 25m,INR 269,40 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
86,KSRTC (Kerala) - 1884,Low Floor AC Seater 2+2,12:30,18:19,05h 49m,INR 383,6 Seats available,"3.2
13",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
87,KSRTC (Kerala) - 596,Super Express Non AC Seater Air Bus (2+2),13:40,18:40,05h 00m,INR 293,5 Seats available,"2.3
12",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
88,KSRTC (Kerala) - 2718,Super Fast Non AC Seater (2+3),13:50,20:00,06h 10m,INR 209,39 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
89,KSRTC (Kerala) - 427,Super Fast Non AC Seater (2+3),13:55,20:20,06h 25m,INR 269,39 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
90,KSRTC (Kerala) - 2896,Low Floor AC Seater 2+2,14:00,20:15,06h 15m,INR 383,9 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
91,KSRTC (Kerala) - 2369,Low Floor AC Seater 2+2,14:30,20:14,05h 44m,INR 383,10 Seats available,"3.0
5",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
92,KSRTC (Kerala) - 2818,Super Fast Non AC Seater (2+3),15:00,20:30,05h 30m,INR 269,49 Seats available,"2.2
5",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
93,KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,21:05,05h 40m,INR 269,49 Seats available,"1.7
5",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
94,KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),15:40,21:15,05h 35m,INR 269,49 Seats available,"2.7
17",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
95,KSRTC (Kerala) - 2898,Low Floor AC Seater 2+2,16:00,22:15,06h 15m,INR 383,9 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
96,KSRTC (Kerala) - 2874,Super Fast Non AC Seater (2+3),16:20,22:30,06h 10m,INR 230,38 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
97,KSRTC (Kerala) - 3002,Super Fast Non AC Seater (2+3),17:26,22:41,05h 15m,INR 269,26 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
98,KSRTC (Kerala) - 503,Super Express Non AC Seater Air Bus (2+2),17:42,22:00,04h 18m,INR 309,21 Seats available,"2.1
35",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
99,KSRTC (Kerala) - 2900,Low Floor AC Seater 2+2,18:00,00:15,06h 15m,INR 383,27 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
100,KSRTC (Kerala) - 556,Super Express Non AC Seater Air Bus (2+2),18:00,22:50,04h 50m,INR 309,3 Seats available,"1.6
17",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
101,KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,23:44,05h 14m,INR 383,11 Seats available,"3.3
28",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
102,KSRTC (Kerala) - 564,Super Express Non AC Seater Air Bus (2+2),20:12,00:51,04h 39m,INR 309,8 Seats available,"3.5
20",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
103,KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,01:01,04h 36m,INR 309,9 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
104,KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,01:44,05h 14m,INR 383,8 Seats available,"3.0
8",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
105,KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,02:35,05h 35m,INR 269,40 Seats available,"4.5
8",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
106,KSRTC (Kerala) - 531,Super Express Non AC Seater Air Bus (2+2),21:15,01:10,03h 55m,INR 309,8 Seats available,"3.3
8",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
107,KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),21:25,02:35,05h 10m,INR 309,11 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
108,KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),21:25,02:05,04h 40m,INR 309,3 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
109,KSRTC (Kerala) - 1212,AC MULTI AXLE,22:00,02:26,04h 26m,INR 750,20 Seats available,"2.1
11",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
110,KSRTC (Kerala) - 700,Super Fast Non AC Seater (2+3),22:15,03:49,05h 34m,INR 255,23 Seats available,"2.7
4",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
111,KSRTC (Kerala) - 370,AC MULTI AXLE,22:20,03:15,04h 55m,INR 750,39 Seats available,"1.6
11",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
112,KSRTC (Kerala) - 666,Super Fast Non AC Seater (2+3),22:25,04:19,05h 54m,INR 269,28 Seats available,"4.3
6",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
113,KSRTC (Kerala) - 1841,Low Floor AC Seater 2+2,22:30,03:40,05h 10m,INR 383,8 Seats available,"2.9
24",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
114,KSRTC (Kerala) - 1704,Super Fast Non AC Seater (2+3),22:40,03:50,05h 10m,INR 255,15 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
115,KSRTC (Kerala) - 582,Super Express Non AC Seater Air Bus (2+2),22:40,03:40,05h 00m,INR 288,1 Seat available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
116,KSRTC (Kerala) - 1011,Super Fast Non AC Seater (2+3),23:00,04:30,05h 30m,INR 261,5 Seats available,3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
117,KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,04:40,05h 35m,INR 269,33 Seats available,"3.3
29",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
118,KSRTC (Kerala) - 407,Super Express Non AC Seater Air Bus (2+2),23:25,03:55,04h 30m,INR 299,3 Seats available,"3.7
6",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
119,A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,INR 800,14 Seats available,"3.6
94",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
120,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,INR 600,29 Seats available,"3.6
34",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
121,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,01:29,02h 59m,INR 900,14 Seats available,"3.4
29",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
122,A1 Travels,NON A/C Semi Sleeper (2+2),22:30,03:00,04h 30m,INR 600,32 Seats available,3.6,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
123,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,03:10,03h 40m,INR 899,36 Seats available,4,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
124,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,02:35,03h 05m,INR 899,19 Seats available,"4.1
6",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
125,Surya Connect,Volvo A/C Semi Sleeper (2+2),23:55,05:15,05h 20m,INR 630,20 Seats available,"4.5
36",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
126,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:55,05:30,05h 35m,670,4 Seats available,"4.0
18",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
127,Cochin Express,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,05:50,05h 51m,INR 700,3 Seats available,"4.3
12",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
128,Arya Travels,A/C Sleeper (2+1),23:59,05:30,05h 31m,INR 895,16 Seats available,"3.0
10",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
129,SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,05:55,05h 56m,INR 900,13 Seats available,New,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
